geneID	Endocrine	Immune	Exocrine	ActivatedStroma	ClassicalTumor	NormalStroma	BasalTumor
ACTR5	3.383888e-01	7.073851e-01	5.603337e-01	3.586872e-01	7.644917e-01	6.410451e-01	9.104708e-01
ACTR6	7.205143e-01	8.481323e-01	5.539476e-01	5.393853e-01	6.811628e-01	8.140439e-01	7.827569e-01
ACTR8	7.637315e-01	9.032111e-01	8.307568e-01	8.204332e-01	6.403636e-01	6.527814e-01	8.095437e-01
ACTRT1	4.942635e-02	0	6.962986e-02	0	3.507407e-03	0	3.816162e-02
ACTRT2	0	0	0	0	2.612099e-03	1.121791e-02	7.153145e-03
ACVR1	9.213729e-01	5.266030e-01	2.746842e-01	1.246717e+00	8.593660e-01	9.739849e-01	7.237745e-01
ACVR1B	6.298638e-01	8.072572e-01	1.354634e+00	6.142844e-01	1.251794e+00	1.009268e+00	5.892123e-01
ACVR1C	3.179676e+00	1.747638e+00	1.175470e-01	1.863225e-01	6.888106e-02	8.492422e-01	1.348676e-02
ACVR2A	1.174541e+00	8.385384e-01	8.081849e-01	9.097754e-01	8.444957e-01	9.747269e-01	5.734978e-01
ACVR2B	4.576234e-01	4.282838e-01	1.057767e+00	4.972912e-01	4.371017e-01	5.455539e-01	7.190745e-01
ACVRL1	1.867009e+00	1.657506e+00	8.912771e-01	1.402771e+00	6.279634e-01	1.480017e+00	2.811929e-01
ACY1	1.045531e-01	2.877389e-01	9.745299e-01	5.441123e-01	1.494345e+00	5.221751e-01	1.802784e+00
ACY3	0	6.797521e-01	1.465745e+00	6.967843e-02	1.584225e+00	5.491865e-01	6.022759e-01
ACYP1	3.380062e-01	3.816419e-01	1.919361e-01	3.157010e-01	9.084778e-01	4.311283e-01	1.103949e+00
ACYP2	1.049745e+00	1.134688e+00	6.382483e-01	1.075851e-01	6.079184e-01	8.418615e-01	6.724308e-01
ADA	1.959345e-01	1.598732e+00	1.297773e+00	1.054268e+00	5.946336e-01	8.191655e-01	1.563105e+00
ADAD1	7.599047e-03	0	0	0	0	0	0
ADAD2	5.697061e-01	8.534215e-01	0	0	0	3.052111e-01	0
ADAL	1.218241e+00	9.380449e-01	7.604898e-01	6.912468e-01	4.623325e-01	9.790655e-01	4.209696e-01
ADAM10	2.589146e-01	5.541231e-01	4.607265e-01	1.086613e+00	8.110828e-01	4.326968e-01	1.100066e+00
ADAM11	6.981851e-04	8.325407e-01	0	1.451152e-03	1.550635e-01	7.380951e-01	3.967546e-01
ADAM12	4.213026e-01	1.701142e+00	3.288108e-01	3.991363e+00	0	1.067865e+00	3.421139e-01
ADAM15	8.618264e-01	6.084593e-01	5.357629e-01	8.545436e-01	1.447904e+00	1.188480e+00	1.317013e+00
ADAM17	1.713889e-01	7.874921e-01	9.013557e-02	8.761790e-01	4.957271e-01	4.902668e-01	9.002426e-01
