sampleID	D6.6_SU-KIDNEY	D7.6_REACTOME-INITIAL-TRIGGERING-OF-COMPLEMENT	D9.6_BIOCARTA-KREB-PATHWAY	D12.7_SABATES-COLORECTAL-ADENOMA-SIZE-UP	D8.2_FARMER-BREAST-CANCER-CLUSTER-5	D11.11_ACUTE-INFLAMMATORY-RESPONSE	D10.6_AIGNER-ZEB1-TARGETS	D7.1_chryp11
TCGA-B0-5109-01A-02R-1420-07	0	1.196694e+00	7.720215e-01	6.359989e-01	2.551142e+00	0	1.234128e+00	1.028267e+00
TCGA-B0-5110-01A-01R-1420-07	1.162586e-01	0	1.239142e-01	5.775017e-01	1.861514e+00	0	6.403171e-02	5.235716e+00
TCGA-B0-5113-01A-01R-1420-07	0	1.648620e-01	8.254023e-02	7.371562e-01	1.874860e+00	0	2.590048e-01	5.880829e+00
TCGA-B0-5115-01A-01R-1420-07	2.107781e-02	1.130638e-01	1.193971e-01	7.383051e-01	1.876675e+00	0	1.901250e-02	4.978194e+00
TCGA-B0-5116-01A-02R-1420-07	0	6.037934e-01	3.563818e-01	0	2.048394e+00	0	2.589837e-01	5.432247e+00
TCGA-B0-5117-01A-01R-1420-07	0	9.284017e-02	3.688088e+00	3.482467e-01	2.192858e+00	0	5.909067e-01	0
TCGA-B0-5119-01A-02R-1420-07	2.574059e-01	0	2.323689e-01	6.546897e-01	1.119273e+00	0	1.197978e-01	5.320400e+00
TCGA-B0-5120-01A-01R-1420-07	0	2.833359e-01	2.384733e-01	3.982852e-01	2.537312e+00	0	5.372734e-01	4.171704e+00
TCGA-B0-5121-01A-02R-1420-07	7.338393e-02	2.947953e-01	2.494277e-01	6.250724e-01	1.752039e+00	0	0	4.281401e+00
TCGA-B0-5399-01A-01R-1503-07	2.626758e-01	3.810916e-01	1.413505e-01	8.299429e-01	1.475883e+00	0	2.324357e-01	4.604454e+00
TCGA-B0-5400-01A-01R-1503-07	1.010495e-01	1.614826e+00	4.991536e-01	8.497707e-01	2.337440e+00	1.300798e-01	9.747001e-02	1.905736e+00
