sampleID	D12.10_GNF2-SPRR1B	D6.2_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D17.11_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D19.8_FARMER-BREAST-CANCER-CLUSTER-5	D9.7_REACTOME-CYTOSOLIC-SULFONATION-OF-SMALL-MOLECULES	D18.18_REACTOME-DOPAMINE-NEUROTRANSMITTER-RELEASE-CYCLE	D17.8_WEBER-METHYLATED-ICP-IN-SPERM-DN	D18.17_GNF2-SPINK1	D19.16_CHROMOSOME-CONDENSATION	D18.12_MARTINELLI-IMMATURE-NEUTROPHIL-DN	D17.6_chr11q11
TCGA-BR-8678-01A-11R-2402-13	2.374818e-01	1.332310e+00	1.787902e-01	4.685879e-01	0	2.452952e-01	0	0	1.287398e+00	0	0
TCGA-BR-8679-01A-11R-2402-13	0	1.799497e+00	7.755858e-02	4.074430e-01	4.632118e-01	0	1.800856e-02	0	3.210864e-01	0	4.371728e-01
TCGA-BR-8680-01A-11R-2402-13	6.241920e-02	6.505182e-01	0	4.138391e-01	6.287236e-01	3.018405e-03	0	0	6.588085e-01	0	0
TCGA-BR-8682-01A-11R-2402-13	0	3.203827e+00	3.822604e-01	2.353329e-01	1.203803e+00	0	0	9.435398e-02	1.371656e-01	0	4.222872e-01
TCGA-BR-8683-01A-11R-2402-13	0	2.530695e+00	3.634692e-01	3.690255e-01	8.916699e-01	2.411517e-02	4.401981e-01	0	5.403357e-02	2.025652e-01	2.511431e-01
TCGA-BR-8686-01A-11R-2402-13	0	2.608168e+00	5.729085e-01	1.368487e-01	1.220836e-01	0	0	1.781891e-01	1.337401e-01	0	1.479262e+00
TCGA-BR-8687-01A-11R-2402-13	0	1.654646e+00	3.461244e-02	4.630449e-01	0	2.261307e-01	1.033054e-01	2.786155e-01	1.676225e-01	0	6.285062e-01
TCGA-BR-8690-01A-11R-2402-13	7.825450e-02	2.018624e+00	4.282518e-01	4.238832e-01	8.364287e-01	0	6.766943e-01	0	1.726306e-01	0	0
TCGA-BR-A44T-01A-32R-A24K-31	5.062260e-02	3.674502e+00	8.981378e-01	3.202211e-02	3.212546e-01	4.295352e-02	0	0	6.173621e-02	0	8.759623e-02
TCGA-BR-A44U-01A-11R-A36D-31	0	1.290695e+00	0	5.613929e-01	9.315509e-01	0	0	0	4.674545e-01	1.017980e-01	1.789587e-01
TCGA-BR-A452-01A-91R-A251-31	1.830445e-01	1.167017e+00	1.768104e-01	2.236913e-01	1.902126e-01	2.282996e-01	4.595409e-01	1.175154e-01	1.139483e+00	0	0
TCGA-BR-A453-01A-11R-A24K-31	0	4.521532e+00	2.816777e-01	3.091960e-01	4.537499e-01	5.215011e-02	0	0	6.456256e-03	0	0
TCGA-BR-A4CR-01A-11R-A24K-31	0	1.613537e+00	8.252960e-02	1.611739e-01	9.852719e-02	7.867336e-01	0	0	1.083756e-01	4.448721e-02	9.156070e-02
TCGA-BR-A4CS-01A-11R-A24K-31	0	1.421130e+00	8.883719e-03	4.623139e-01	2.061923e-01	1.376696e-02	5.508209e-01	0	3.018412e-01	3.324639e-01	8.622363e-01
TCGA-BR-A4IU-01A-22R-A251-31	0	3.609056e+00	5.339941e-01	2.173238e-01	1.527371e-01	0	0	0	1.620755e-01	0	5.989239e-01
TCGA-BR-A4IV-01A-31R-A251-31	0	4.153950e+00	2.819879e-01	3.252727e-01	1.952258e-02	6.050844e-03	0	0	1.525741e-01	2.962430e-01	4.165643e-01
