sampleID	D6.6_GNF2-SPRR1B	D8.5_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D8.2_MODULE-103	D7.2_RUNNE-GENDER-EFFECT-UP	D6.2_NIKOLSKY-BREAST-CANCER-7P15-AMPLICON
TCGA-EB-A4OY-01A-11R-A266-07	4.649849e-01	9.330466e-01	4.207668e+00	2.640882e-01	2.531989e-01
TCGA-EB-A4OZ-01A-12R-A266-07	1.421678e+00	1.438801e+00	2.942170e+00	8.938874e-01	1.572183e+00
TCGA-EB-A4P0-01A-41R-A266-07	1.022285e-01	1.192050e+00	1.936375e+00	1.441855e+00	1.146758e+00
TCGA-EB-A4XL-01A-11R-A27Q-07	1.329858e+00	1.170861e+00	4.760477e-01	1.829331e+00	1.811751e+00
TCGA-EB-A51B-01A-11R-A27Q-07	8.272337e-01	6.286391e-01	1.702945e+00	3.584523e+00	0
TCGA-EB-A550-01A-61R-A27Q-07	1.670693e+00	7.573121e-01	1.407401e-01	1.606365e+00	2.830845e+00
TCGA-EB-A551-01A-21R-A27Q-07	1.145384e-01	1.839965e+00	9.029388e-01	3.224499e+00	1.859573e+00
TCGA-EB-A553-01A-12R-A27Q-07	4.154303e-01	1.041174e+00	3.649428e+00	2.307055e+00	4.744785e-01
TCGA-EB-A57M-01A-51R-A311-07	1.264615e+00	1.248363e+00	1.950590e+00	9.733662e-01	1.917947e+00
TCGA-EB-A5FP-01A-11R-A27Q-07	1.028726e+00	0	2.436184e+00	3.667667e+00	1.235245e-02
TCGA-EB-A5KH-06A-11R-A27Q-07	7.722854e-02	7.652484e-01	2.743670e+00	1.153440e+00	1.020530e+00
TCGA-EB-A5SE-01A-11R-A311-07	9.691943e-01	5.461460e-01	1.191662e+00	2.176188e+00	1.008838e+00
TCGA-EB-A5SF-01A-11R-A311-07	1.671168e+00	3.150705e-01	4.387353e+00	5.126184e-01	9.229342e-01
TCGA-EB-A5SG-06A-11R-A311-07	0	2.609560e+00	1.610360e+00	2.050454e+00	9.513810e-01
TCGA-EB-A5SH-06A-11R-A311-07	0	1.223777e+00	2.720094e+00	3.344895e-01	4.288953e-01
TCGA-EB-A5UL-06A-11R-A311-07	3.184042e-02	1.524704e+00	2.811872e+00	2.709313e+00	5.064322e-01
TCGA-EB-A5UM-01A-11R-A311-07	6.252003e-01	1.345712e+00	2.108534e+00	1.457870e+00	1.103423e+00
TCGA-EB-A5UN-06A-11R-A311-07	2.747237e-01	7.362592e-01	2.711673e+00	3.962511e+00	8.401531e-01
TCGA-EB-A5VU-01A-21R-A32P-07	1.160639e+00	4.458317e-01	7.675385e-01	2.637341e+00	2.221222e+00
TCGA-EB-A5VV-06A-11R-A32P-07	6.398190e-02	2.862896e+00	3.755219e-01	2.492475e+00	1.858756e+00
TCGA-EB-A6L9-06A-11R-A32P-07	1.562902e-01	2.294432e+00	3.114317e+00	1.494575e+00	6.537380e-01
TCGA-EB-A6QY-01A-12R-A32P-07	1.351344e+00	3.364027e-01	2.274060e+00	3.938693e+00	0
TCGA-EB-A6QZ-01A-12R-A32P-07	7.325872e-01	5.546650e-01	1.370275e+00	1.387137e+00	2.310177e+00
TCGA-EB-A6R0-01A-12R-A32P-07	3.307403e-01	1.500061e+00	1.103557e+00	3.088239e+00	0
TCGA-EB-A82B-01A-11R-A352-07	2.127331e-01	1.681611e+00	2.090851e+00	2.174522e+00	4.437278e-01
TCGA-EB-A82C-01A-11R-A352-07	9.856097e-01	2.684200e-01	1.663242e+00	2.507719e+00	6.785228e-01
TCGA-EB-A85I-01A-11R-A352-07	1.907823e-01	1.134633e+00	3.082151e+00	2.510296e+00	1.708747e+00
TCGA-EB-A85J-01A-12R-A352-07	3.354209e-02	1.799994e+00	2.293109e+00	1.881314e+00	2.149586e-01
TCGA-EB-A97M-01A-11R-A38C-07	4.113875e-02	1.236042e+00	3.723903e+00	2.037759e+00	6.753202e-02
TCGA-EE-A17X-06A-11R-A18S-07	0	5.476384e-01	4.551939e+00	3.208430e+00	0
TCGA-EE-A17Y-06A-11R-A18T-07	2.707353e-01	0	1.704079e+00	2.646964e+00	4.829466e+00
TCGA-EE-A17Z-06A-11R-A18S-07	5.749973e-01	2.697065e-01	1.194085e+00	1.020571e+00	1.393066e+00
TCGA-EE-A180-06A-11R-A21D-07	1.442724e-02	8.537601e-01	2.128303e+00	3.069226e+00	3.453367e-01
TCGA-EE-A181-06A-11R-A18S-07	1.511051e-02	2.153494e+00	1.479371e+00	2.444963e+00	8.457687e-03
TCGA-EE-A182-06A-11R-A18T-07	1.004493e+00	8.685126e-01	5.253619e+00	8.932835e-01	4.965652e-01
TCGA-EE-A183-06A-11R-A18S-07	7.126966e-02	1.727484e+00	4.016596e+00	2.007838e+00	4.104439e-01
TCGA-EE-A184-06A-11R-A18S-07	1.685064e-01	1.332490e+00	2.675709e+00	2.830148e+00	0
TCGA-EE-A185-06A-11R-A18S-07	5.355572e-01	0	3.540482e+00	3.371661e+00	0
TCGA-EE-A20B-06A-11R-A18U-07	1.653045e-01	1.257098e+00	6.023279e-01	1.287606e+00	4.972039e+00
TCGA-EE-A20C-06A-11R-A18S-07	0	7.916735e-02	1.198642e+00	3.500622e+00	2.562005e+00
TCGA-EE-A20F-06A-21R-A18S-07	9.279794e-02	1.583854e+00	1.952441e+00	2.852776e+00	8.823720e-01
TCGA-EE-A20H-06A-11R-A18S-07	5.064268e-01	1.654158e-01	4.962685e-01	2.043489e+00	4.974073e+00
TCGA-EE-A20I-06A-11R-A18U-07	1.828807e-02	1.134972e+00	3.241411e+00	3.321845e+00	2.588836e-01
