sampleID	D15.15_GNF2-BUB1	D17.11_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D12.10_AIGNER-ZEB1-TARGETS	D8.3_BOYAULT-LIVER-CANCER-SUBCLASS-G56-UP	D10.8_chr11q11	D19.17_MODULE-78	D14.1_REACTOME-RECYCLING-OF-BILE-ACIDS-AND-SALTS	D19.16_CHIANG-LIVER-CANCER-SUBCLASS-POLYSOMY7-UP	D17.9_REACTOME-BETA-DEFENSINS	D19.5_THUM-MIR21-TARGETS-HEART-DISEASE-UP	D17.12_REACTOME-BETA-DEFENSINS	D14.4_MIPS-UTX-MLL2-3-COMPLEX	D14.7_RUNNE-GENDER-EFFECT-UP	D17.17_LY-AGING-MIDDLE-DN
TCGA-CC-A9FU-01A-11R-A37K-07	1.453620e-01	9.138480e-02	0	1.213530e+00	2.795448e-01	1.262658e-01	0	0	1.741053e+00	0	0	1.387120e+00	1.531064e+00	0
TCGA-CC-A9FV-01A-11R-A37K-07	0	0	0	2.819745e+00	0	0	0	3.485822e-02	0	8.050832e-01	0	1.104756e+00	2.422329e+00	0
TCGA-CC-A9FW-01A-11R-A37K-07	1.687875e-01	2.011150e-01	0	2.569337e+00	2.496890e-01	0	0	6.810176e-02	1.399845e+00	0	2.456570e-01	1.137823e+00	1.274835e+00	0
TCGA-DD-A113-11A-12R-A131-07	0	0	1.455948e-01	4.220440e-01	2.545013e+00	1.596829e-03	2.816709e+00	2.769385e-01	0	0	2.242745e-01	1.470544e+00	6.797665e-02	0
TCGA-DD-A113-01A-11R-A131-07	0	1.293116e-02	1.732431e-01	4.611810e-01	0	7.037903e-01	3.426927e-01	0	9.724551e-02	2.905446e-01	0	1.347717e+00	6.978770e-01	4.314186e-01
TCGA-DD-A114-11A-12R-A131-07	0	4.940681e-01	1.046097e-01	4.852958e-01	1.857658e+00	1.315433e-01	2.906440e+00	1.570470e-01	2.906015e-02	2.365748e-01	0	1.419320e+00	3.091190e-01	0
TCGA-DD-A114-01A-11R-A131-07	0	4.430226e-01	4.122294e-01	4.136820e-01	2.718449e-01	0	1.304948e+00	0	0	6.706608e-01	0	1.329961e+00	1.124060e+00	4.034993e-01
TCGA-DD-A115-01A-11R-A131-07	1.569580e-01	1.711200e-01	2.541204e-02	6.399768e-01	1.309588e-01	3.840747e-02	2.905493e+00	5.488262e-03	0	3.855445e-01	0	1.145823e+00	1.332476e+00	0
TCGA-DD-A116-11A-12R-A26B-07	0	1.702544e-01	7.403867e-02	8.889026e-01	2.121031e+00	1.299284e-01	3.230562e+00	1.736909e-01	0	7.986561e-02	0	1.254587e+00	5.283209e-01	0
TCGA-DD-A116-01A-11R-A131-07	0	1.357306e-01	1.258477e-01	3.946119e+00	0	0	1.336006e+00	3.045113e-02	3.556742e-01	4.567668e-01	1.531783e-01	0	1.409902e+00	0
